0,"326;46;58;37;44;6;43;29;67;12;18;54;56;13;122;93;338;38;62;33;47;7;45;26;61;14;18;58;57;12;110;98;344;27;55;55;31;5;46;27;72;14;25;20;54;17;104;128",-1
1,"444;75;55;62;38;5;30;34;40;10;13;55;26;13;63;61;446;71;51;55;36;6;28;36;45;13;11;56;29;11;68;62;423;72;51;91;29;4;31;39;61;11;15;22;21;10;58;86",-1
2,"367;79;68;95;28;8;39;56;32;10;10;46;20;14;75;77;357;85;62;109;32;9;43;60;27;9;9;52;22;12;67;69;389;58;49;106;24;12;37;60;44;11;18;30;25;9;52;100",-1
3,"397;72;57;48;40;17;26;39;53;14;11;49;34;11;86;70;403;80;51;51;37;15;32;32;47;12;11;48;35;15;85;70;405;59;50;70;29;13;28;45;68;17;17;15;31;14;66;97",-1
4,"181;60;24;58;39;11;29;105;96;17;11;70;83;24;91;125;182;57;24;58;39;11;31;104;97;18;11;68;87;25;88;124;228;40;21;61;27;12;22;93;98;18;10;44;70;24;80;176",-1
5,"437;64;38;60;39;9;16;32;65;19;11;62;35;13;64;60;437;54;35;62;38;14;18;31;70;19;8;62;40;10;68;58;439;54;35;87;33;9;10;32;82;24;8;34;38;9;61;69",-1
6,"496;67;42;40;30;6;27;19;58;19;9;55;36;12;61;47;481;75;37;41;29;4;29;20;56;19;10;58;37;14;67;47;488;55;34;66;18;7;25;22;84;19;8;29;41;13;56;59",-1
7,"449;57;41;40;37;7;17;38;72;23;15;59;37;15;61;56;431;65;45;34;34;9;19;36;71;21;13;62;41;13;72;58;435;54;38;58;37;8;16;33;83;25;20;36;34;12;53;82",-1
8,"422;51;42;41;39;8;26;32;61;23;17;62;56;17;68;59;433;54;44;42;37;6;28;34;57;22;17;59;48;19;67;57;445;35;38;64;30;5;28;29;80;26;19;21;41;20;53;90",-1
9,"471;43;39;41;43;7;23;24;68;22;14;57;46;13;63;50;465;44;39;41;44;7;24;26;73;23;16;53;41;13;66;49;454;40;42;67;41;7;21;22;82;20;11;33;39;9;57;79",-1
10,"477;70;33;48;32;7;26;23;63;27;12;63;32;16;54;41;465;66;35;45;30;9;27;23;66;28;12;60;34;16;62;46;459;56;36;77;25;10;23;25;94;32;14;22;26;14;47;64",-1
11,"472;73;45;42;27;8;19;21;53;22;6;65;35;12;71;53;458;71;46;47;25;8;23;20;52;22;4;65;37;14;75;57;462;61;37;66;21;9;18;20;85;26;10;24;28;13;69;75",-1
12,"210;122;26;77;25;4;34;24;20;33;4;66;82;34;156;107;206;124;26;78;29;3;36;25;20;31;5;67;80;33;152;109;243;93;23;91;21;1;27;28;29;42;3;33;64;34;144;148",-1
13,"250;51;61;84;49;6;48;90;37;10;11;68;26;10;107;116;268;49;59;83;36;9;49;102;28;12;12;72;29;8;93;115;285;42;52;83;31;4;48;101;40;13;14;42;19;8;89;153",-1
14,"314;31;50;27;43;3;51;28;64;12;25;61;77;14;140;84;286;37;47;27;51;3;49;34;67;13;30;66;79;15;137;83;311;17;43;40;30;4;40;32;93;11;28;21;69;11;145;129",-1
15,"325;33;50;45;37;6;43;39;64;13;23;58;60;15;120;93;351;36;44;41;38;6;37;39;63;9;22;60;58;16;116;88;354;23;39;58;26;3;32;42;76;10;23;25;51;13;125;124",-1
16,"371;49;40;57;40;2;33;44;64;24;20;54;51;12;95;68;348;46;40;44;48;5;35;38;74;21;20;60;57;11;103;74;379;45;37;66;35;3;24;42;81;23;24;20;50;6;92;97",-1
17,"203;65;27;43;41;15;18;118;95;20;20;68;49;24;81;137;203;74;27;44;41;14;13;119;91;21;25;64;47;24;85;132;251;45;25;50;21;16;13;118;98;27;28;32;42;17;64;177",-1
18,"234;110;29;74;43;5;34;45;37;29;9;63;63;31;102;116;226;117;29;79;41;6;34;45;38;29;10;64;64;30;101;111;284;90;27;80;26;5;22;45;38;35;6;38;56;30;91;151",-1
19,"417;58;38;49;48;3;30;21;75;11;16;67;37;20;79;55;426;56;38;36;49;4;31;17;76;13;17;65;37;19;79;61;421;48;35;66;41;6;27;22;109;15;23;29;39;15;58;70",-1
20,"404;54;25;36;33;2;30;24;90;24;22;58;52;21;99;50;438;51;22;30;34;6;24;20;81;26;25;61;54;22;82;48;441;38;27;49;28;6;21;16;107;26;27;19;56;21;74;68",-1
21,"397;47;33;32;41;7;25;25;96;19;21;50;68;11;85;67;405;43;38;35;38;7;30;25;81;19;19;53;68;11;81;71;427;40;31;48;27;7;21;23;96;25;19;17;60;9;89;85",-1
22,"313;50;35;36;32;3;52;33;76;13;20;52;67;19;140;83;310;45;45;37;35;5;46;33;83;17;24;49;72;17;137;69;346;30;35;47;33;4;33;28;82;18;21;26;60;12;136;113",-1
23,"329;36;41;15;44;3;36;33;67;11;21;53;75;15;134;111;323;40;34;19;42;3;39;27;65;15;23;52;72;16;145;109;344;24;37;34;28;6;32;27;67;12;20;29;59;15;146;144",-1
24,"331;39;49;28;45;9;43;17;68;7;24;56;60;21;137;90;326;35;46;25;46;7;41;14;75;6;27;57;65;23;144;87;353;29;41;55;35;9;27;20;77;8;21;23;46;16;145;119",-1
25,"275;114;25;53;40;5;28;30;66;28;7;55;98;23;125;52;282;109;27;55;42;6;26;26;74;27;7;54;93;23;114;59;324;75;20;78;33;5;20;26;71;35;3;31;86;21;97;99",-1
26,"259;77;23;49;40;10;23;65;87;15;15;65;72;22;99;103;267;76;21;44;41;9;27;60;95;14;14;66;73;24;95;98;304;52;17;65;13;9;15;71;107;15;11;34;82;15;78;136",-1
27,"555;91;22;22;26;1;17;10;67;19;5;49;30;16;64;30;565;93;25;30;33;1;13;10;59;25;5;48;20;17;57;23;564;70;19;51;31;2;16;7;98;33;5;13;19;10;47;39",-1
28,"275;59;37;56;31;4;44;59;53;27;17;55;33;17;96;161;286;66;41;48;29;6;34;80;37;21;16;50;30;25;104;151;330;51;33;58;31;6;30;63;55;20;15;33;31;9;74;185",-1
29,"352;121;31;97;26;3;32;43;52;15;6;71;34;18;63;60;359;129;35;89;28;5;32;45;55;16;2;62;30;16;58;63;374;86;34;91;24;7;31;49;67;21;5;38;36;12;53;96",-1
30,"301;83;29;74;30;10;21;68;99;12;9;72;52;15;72;77;315;78;29;71;34;10;20;65;109;14;8;72;52;16;63;68;366;52;25;64;25;13;14;61;107;20;9;53;41;10;46;118",-1
31,"380;91;22;51;26;3;24;31;48;14;7;58;46;13;126;84;395;113;23;46;25;3;21;31;37;14;6;58;41;12;120;79;399;89;18;65;19;1;24;32;53;20;10;25;47;15;111;96",-1
32,"425;72;16;34;29;1;23;21;63;20;9;49;39;14;145;64;466;74;18;25;31;2;22;18;56;18;9;56;41;16;126;46;473;67;20;37;25;1;23;12;56;24;14;22;41;12;120;77",-1
33,"460;69;34;44;31;9;27;19;57;15;13;59;35;10;86;56;475;80;32;34;34;7;23;16;50;14;14;64;41;13;77;50;487;71;35;57;23;5;28;27;57;18;18;28;38;20;52;60",-1
34,"425;97;38;39;26;4;35;27;35;11;16;60;30;16;94;71;464;94;36;47;22;5;28;26;28;12;13;56;30;14;90;59;476;73;38;66;20;5;28;29;50;19;15;23;25;8;67;82",-1
35,"200;117;20;101;26;5;12;35;90;9;3;48;213;17;87;41;211;107;17;100;28;9;14;36;87;14;5;47;201;14;93;41;237;92;11;121;10;11;7;39;86;13;5;20;213;15;77;67",-1
36,"279;109;26;38;25;7;32;60;80;15;10;53;53;15;125;97;276;95;25;36;23;4;28;49;104;14;11;49;64;18;129;99;313;70;19;47;19;6;17;42;106;11;16;18;58;14;132;136",-1
37,"300;97;27;36;29;7;28;57;76;14;12;58;43;18;108;114;307;94;28;30;31;9;27;60;78;17;12;54;40;17;111;109;324;64;32;40;21;11;24;63;80;19;15;26;38;14;91;162",-1
38,"366;88;41;54;23;10;28;88;42;13;11;58;29;15;81;77;380;81;36;59;23;12;29;81;38;18;10;55;31;15;81;75;419;64;34;81;16;12;23;56;66;20;16;18;27;17;59;96",-1
39,"141;60;11;51;42;5;37;68;79;13;15;70;92;14;196;130;143;65;15;58;44;6;35;64;83;12;13;68;93;14;184;127;199;52;8;65;27;4;22;61;78;12;12;29;73;9;191;182",-1
40,"259;47;23;45;25;3;34;37;55;12;12;54;71;14;197;136;296;50;20;37;23;3;26;33;48;13;12;56;71;16;195;125;303;43;19;63;16;4;14;26;75;11;9;21;64;11;197;148",-1
41,"184;48;18;57;37;6;37;78;53;12;7;69;65;11;170;172;186;55;18;52;36;4;39;74;51;9;5;73;72;10;163;177;232;40;13;63;21;4;26;70;64;8;5;36;55;6;156;225",-1
42,"177;41;15;65;46;3;36;74;101;12;11;71;112;17;114;129;190;43;18;70;33;3;23;92;150;10;5;57;108;21;102;99;232;20;16;80;28;1;13;83;143;17;5;30;92;15;95;154",-1
43,"189;54;23;68;42;3;26;61;78;12;11;64;90;10;138;155;188;56;19;60;40;4;27;69;63;12;14;66;78;14;138;176;233;38;23;67;35;1;24;68;49;11;4;44;45;6;122;254",-1
44,"258;82;13;49;32;4;38;56;45;5;11;74;104;12;137;104;268;89;10;59;37;5;32;59;45;6;16;75;94;11;120;98;306;67;9;65;33;5;21;57;50;14;8;49;78;5;121;136",-1
45,"288;72;18;18;30;6;30;29;75;13;14;51;72;16;147;145;306;78;21;17;28;7;28;28;78;17;10;49;76;12;137;132;347;67;13;21;26;3;14;24;85;12;10;24;47;11;141;179",-1
46,"267;152;18;47;24;5;36;46;60;22;9;55;57;12;123;91;270;147;19;52;30;2;33;44;54;23;11;63;52;13;120;91;310;121;16;57;18;2;16;44;60;25;7;35;49;10;120;134",-1
47,"320;100;29;60;23;6;34;27;49;17;9;55;60;23;120;92;336;121;28;58;23;6;39;25;44;15;13;56;44;23;105;88;351;101;29;70;11;6;32;27;54;26;8;18;37;20;108;126",-1
48,"178;76;20;70;43;1;28;85;114;13;13;63;118;12;133;57;176;75;23;69;42;2;28;86;107;12;12;62;115;12;136;67;229;52;14;64;25;2;23;81;118;8;11;33;104;8;130;122",-1
49,"292;100;35;76;37;4;31;49;79;23;9;58;51;16;80;84;304;108;40;70;31;4;32;52;82;15;6;52;56;18;73;81;322;74;40;75;24;5;25;54;91;18;8;26;48;13;65;136",-1
50,"351;87;24;46;29;8;27;48;59;20;9;59;50;17;111;79;330;79;32;51;31;11;28;54;57;20;13;65;53;11;109;80;369;50;27;60;22;8;20;46;62;22;7;27;40;9;102;153",-1
51,"252;105;22;69;29;9;26;78;69;14;7;63;64;9;112;96;251;111;24;84;28;6;28;88;68;10;5;65;70;7;101;78;281;82;20;106;14;7;18;89;91;11;5;23;59;7;87;124",-1
52,"307;151;24;13;11;4;26;34;25;13;6;46;40;15;187;122;286;137;22;15;11;5;29;31;37;14;7;47;44;19;200;120;330;107;22;33;7;4;25;26;44;18;1;12;29;11;171;184",-1
53,"277;152;22;18;13;5;28;24;13;13;3;42;40;13;213;148;278;140;25;22;14;2;24;33;25;10;4;44;51;19;201;132;291;116;23;43;6;7;24;38;28;20;5;14;30;16;186;177",-1
54,"313;155;27;29;16;3;24;34;24;12;5;48;45;11;150;128;283;129;23;31;17;5;33;36;26;12;9;51;50;15;165;139;300;117;25;58;16;6;19;23;43;11;8;16;33;11;163;175",-1
55,"359;170;15;27;10;8;27;33;28;10;11;42;30;12;137;105;351;130;13;50;10;6;23;31;41;18;8;6;25;15;145;152;317;182;18;29;16;6;27;39;35;11;12;40;36;13;139;104",1
56,"366;159;14;26;11;4;25;23;37;21;6;48;35;15;136;98;384;141;15;50;8;7;14;18;55;24;2;11;24;11;133;127;352;153;17;34;12;3;24;25;40;23;7;45;43;15;142;89",1
57,"277;168;20;33;13;6;22;46;24;14;7;42;40;19;159;134;315;133;14;44;9;3;12;42;49;15;6;4;32;7;144;195;283;157;24;31;16;4;23;45;29;12;7;43;43;18;145;144",1
58,"314;211;9;32;7;5;22;37;23;7;6;47;40;14;149;101;339;166;5;63;2;3;11;29;37;18;4;14;29;13;148;143;315;209;7;39;5;5;18;36;28;9;5;46;36;13;158;95",1
59,"296;192;25;18;8;7;29;43;35;9;8;41;52;16;149;96;312;150;19;31;8;11;16;36;44;20;7;6;33;10;170;151;276;178;19;15;10;9;34;39;40;9;12;40;53;16;172;102",1
60,"355;46;19;13;28;1;41;14;61;19;10;56;64;16;210;71;388;47;16;30;21;3;15;9;77;15;13;9;59;10;226;86;373;49;23;7;27;1;31;16;59;14;10;49;66;16;225;58",1
61,"387;67;27;26;15;3;31;33;63;15;11;54;63;15;144;70;410;48;26;42;17;3;21;22;77;18;9;20;53;11;143;104;395;62;27;24;18;3;33;24;67;16;9;54;66;15;140;71",1
62,"364;96;35;44;31;3;33;22;68;18;15;55;45;18;111;66;396;72;29;61;24;5;24;24;81;23;11;21;39;10;106;98;368;91;37;37;34;4;34;22;69;18;13;57;44;21;109;66",1
63,"461;105;17;13;21;2;22;14;62;12;7;49;34;18;98;89;446;83;12;47;15;4;19;9;81;12;11;17;43;16;98;111;441;91;17;22;21;1;24;20;60;14;7;42;45;18;108;93",1
64,"437;96;17;20;11;5;25;27;36;17;9;51;38;17;83;135;460;87;13;34;9;3;18;19;52;14;8;15;28;12;66;186;373;106;22;23;15;4;31;32;32;16;13;48;46;17;89;157",1
65,"330;51;39;31;25;7;44;38;56;15;21;46;60;22;145;94;338;37;34;45;18;8;39;26;73;13;16;22;51;18;147;139;323;52;41;26;27;6;43;38;61;10;18;52;60;23;149;95",1
66,"287;41;42;28;38;6;55;37;73;28;24;43;70;21;139;92;318;32;35;34;33;8;38;32;85;16;24;19;57;19;147;127;281;43;45;23;42;7;57;38;75;22;25;43;67;20;141;95",1
67,"282;43;41;32;32;11;48;28;66;10;19;51;63;22;160;116;290;32;39;40;31;11;40;23;72;11;19;27;63;15;153;158;264;44;44;28;36;10;47;30;72;9;19;49;67;20;164;121",1
68,"294;50;44;26;33;7;50;30;45;17;20;47;65;24;173;99;313;34;32;43;22;4;39;24;60;11;17;12;54;18;190;151;298;47;46;28;33;6;50;27;45;16;19;47;73;22;164;103",1
69,"277;53;45;30;31;5;42;28;76;11;15;49;68;22;174;98;314;32;32;36;23;4;29;24;77;10;16;19;54;13;182;159;274;51;42;28;31;4;44;28;80;13;19;48;73;21;172;96",1
70,"251;70;48;29;50;2;49;42;58;12;22;60;53;24;139;115;299;44;39;42;33;5;33;33;60;16;20;23;56;16;135;170;252;62;43;28;50;4;46;37;54;14;24;58;61;24;150;117",1
71,"343;85;29;53;41;6;26;33;62;11;9;75;51;13;104;83;341;75;25;69;36;4;28;33;78;15;14;39;43;11;97;116;335;83;30;55;34;6;27;40;68;11;9;67;53;13;112;81",1
72,"368;49;34;24;27;6;36;26;78;14;17;53;64;23;128;77;357;44;31;39;20;5;34;24;96;15;17;23;65;17;135;102;364;55;30;23;24;6;37;23;76;14;19;54;66;21;137;75",1
73,"403;107;29;44;21;3;36;15;48;13;11;51;50;12;116;65;418;97;29;49;15;1;29;15;63;14;10;22;48;10;110;94;420;107;29;40;23;0;35;13;53;16;10;50;46;15;108;59",1
74,"329;117;23;46;30;3;26;28;48;16;13;52;50;14;139;90;376;97;24;54;22;5;21;27;56;18;10;24;42;7;117;124;351;126;25;38;26;3;28;29;45;12;14;52;48;15;127;85",1
75,"400;66;31;35;34;4;25;20;58;17;15;48;53;15;132;71;413;51;23;50;23;6;30;19;81;16;20;15;49;10;118;100;415;73;32;28;30;4;31;21;60;17;18;42;52;17;119;65",1
