0,"410;55;58;32;29;8;47;27;68;19;22;17;50;12;77;93",0
1,"375;38;53;41;33;6;42;32;84;10;15;26;47;26;87;109",0
2,"368;47;55;36;39;20;40;40;64;27;29;26;40;18;59;116",0
3,"443;46;35;27;35;11;24;13;101;21;17;35;76;23;52;65",0
4,"458;43;36;29;34;6;28;21;97;14;18;16;61;13;72;78",0
5,"603;89;33;36;24;8;11;18;58;22;14;20;23;16;13;36",0
6,"465;54;47;34;40;11;28;27;71;15;16;19;48;12;61;76",0
7,"485;51;50;41;34;7;28;25;75;9;12;21;37;18;53;78",0
8,"624;82;31;28;30;7;8;21;61;15;11;16;19;11;22;38",0
9,"313;76;47;43;40;12;46;30;58;20;24;27;43;10;95;140",0
10,"446;74;48;51;30;13;38;32;45;16;23;34;43;9;36;86",0
11,"373;65;42;46;36;2;34;23;76;22;19;30;65;13;81;97",0
12,"507;107;47;28;25;11;31;25;32;17;6;24;23;12;57;72",0
13,"410;112;40;31;22;9;28;34;52;18;15;8;37;11;107;90",0
14,"363;38;46;20;28;3;33;17;91;21;15;16;77;10;171;75",0
15,"214;97;29;40;17;2;24;44;72;24;6;13;74;25;146;197",0
16,"187;107;29;129;23;9;15;102;92;13;12;26;57;6;70;147",0
17,"332;123;12;60;14;3;15;40;109;13;2;17;46;6;118;114",0
18,"246;92;30;82;19;5;19;86;96;21;11;17;55;9;106;130",0
19,"201;91;36;89;26;4;32;84;70;16;11;20;55;8;124;157",0
20,"186;81;17;58;24;2;31;55;55;11;12;26;93;14;146;213",0
21,"235;118;13;157;18;2;19;82;72;10;5;14;59;14;114;92",0
22,"219;112;14;98;21;4;12;68;105;21;5;23;72;7;121;122",0
23,"292;75;45;58;38;10;43;36;81;13;15;15;74;15;109;105",0
24,"374;118;40;37;19;4;36;15;56;14;16;12;29;21;138;95",1
25,"423;71;52;58;34;6;30;35;62;17;16;19;45;7;74;75",1
26,"410;111;53;64;29;8;30;39;55;12;14;20;46;18;45;70",1
27,"389;71;59;42;37;7;37;51;63;14;25;27;50;10;59;83",1
28,"369;52;48;49;36;8;43;38;74;17;21;25;55;16;69;104",1
29,"416;100;25;25;15;7;23;43;60;10;8;11;44;3;101;133",1
30,"400;106;31;47;21;7;23;28;34;18;12;9;40;10;138;100",1
31,"382;59;46;25;30;15;34;44;53;26;19;33;41;30;66;121",1
32,"301;73;42;48;40;5;33;35;67;18;23;33;67;23;92;124",1
33,"266;101;31;54;31;3;20;18;100;19;19;13;113;15;156;65",1
34,"300;69;55;63;41;7;34;42;91;24;9;25;77;19;63;105",1
35,"374;40;54;67;39;8;25;45;108;23;17;35;49;14;39;87",1
36,"310;58;50;57;57;12;33;34;112;16;18;45;58;11;47;106",1
37,"378;64;49;49;41;6;27;33;110;14;21;27;50;12;46;97",1
38,"464;56;31;27;12;3;29;31;99;7;8;12;37;8;47;153",1
39,"467;64;65;43;29;9;32;42;68;20;11;19;31;11;34;79",1
